"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","45","1466","35431695","4.14"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","45","7982","70121575","11.38"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","46","6476","34495259","18.77"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","46","1477","35311991","4.18"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","46","7953","69807250","11.39"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","47","6531","34460124","18.95"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","47","1533","35353350","4.34"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","47","8064","69813474","11.55"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","48","6593","34100794","19.33"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","48","1460","35107524","4.16"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","48","8053","69208318","11.64"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","49","6333","33906977","18.68"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","49","1393","34993256","3.98"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","49","7726","68900233","11.21"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","50","6392","33416558","19.13"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","50","1390","34622654","4.01"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","50","7782","68039212","11.44"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","51","6291","32914233","19.11"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","51","1376","34178883","4.03"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","51","7667","67093116","11.43"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","52","6231","32516297","19.16"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","52","1240","33875455","3.66"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","52","7471","66391752","11.25"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","53","6083","31439604","19.35"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","53","1248","32846671","3.8"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","53","7331","64286275","11.4"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","54","5857","30688499","19.09"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","54","1210","32174615","3.76"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","54","7067","62863114","11.24"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","55","5524","29520523","18.71"
