"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","79","132","21652673","0.61"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","80","65","8258860","0.79"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","80","28","12078226","0.23"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","80","93","20337086","0.46"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","81","85","7611394","1.12"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","81","29","11502668","0.25"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","81","114","19114062","0.6"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","82","69","6915982","1"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","82","26","10821405","0.24"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","82","95","17737387","0.54"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","83","58","6233778","0.93"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","83","27","10122748","0.27"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","83","85","16356526","0.52"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","84","62","5528088","1.12"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","84","35","9354286","0.37"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","84","97","14882374","0.65"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","85","281","25436037","1.1"
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","85","263","55083171","0.48"
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","85","544","80519208","0.68"
"Males","All Races","United States","Both","All Ages","1999","2014","Struck by or against","199","6",".","."
"Females","All Races","United States","Both","All Ages","1999","2014","Struck by or against","199","1",".","."
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against","199","7",".","."
"","All Races","United States","Both","All Ages","1999","2014","Struck by or against",".","17055","4791896514","0.36"
