"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","59","311","52507523","0.59"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","60","265","24115105","1.1"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","60","39","26060645","0.15"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","60","304","50175750","0.61"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","61","271","23152626","1.17"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","61","23","25106166","0.09"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","61","294","48258792","0.61"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","62","263","22136214","1.19"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","62","38","24141470","0.16"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","62","301","46277684","0.65"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","63","258","21032413","1.23"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","63","38","23077541","0.16"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","63","296","44109954","0.67"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","64","247","20077579","1.23"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","64","28","22165848","0.13"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","64","275","42243427","0.65"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","65","216","19085842","1.13"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","65","23","21251597","0.11"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","65","239","40337439","0.59"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","66","214","18086315","1.18"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","66","25","20306492","0.12"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","66","239","38392807","0.62"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","67","177","17119473","1.03"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","67","19","19404691","0.1"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","67","196","36524164","0.54"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","68","172","16044992","1.07"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","68","23","18393904","0.13"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","68","195","34438896","0.57"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","69","163","15378334","1.06"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","69","22","17847535","0.12"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","69","185","33225869","0.56"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","70","176","14638022","1.2"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","70","25","17241796","0.14"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","70","201","31879818","0.63"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","71","151","14029851","1.08"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","71","10","16717302","0.06"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","71","161","30747153","0.52"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","72","104","13230047","0.79"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","72","13","16044130","0.08"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","72","117","29274177","0.4"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","73","133","12614353","1.05"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","73","14","15548723","0.09"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","73","147","28163076","0.52"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","74","96","12027636","0.8"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","74","11","15108635","0.07"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","74","107","27136271","0.39"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","75","97","11373450","0.85"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","75","8","14595990","0.05"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","75","105","25969440","0.4"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","76","89","10819714","0.82"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","76","14","14186550","0.1"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","76","103","25006264","0.41"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","77","85","10203125","0.83"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","77","11","13707965","0.08"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","77","96","23911090","0.4"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","78","64","9617533","0.67"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","78","18","13251818","0.14"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","78","82","22869351","0.36"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","79","63","8952315","0.7"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","79","7","12700358","0.06"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","79","70","21652673","0.32"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","80","67","8258860","0.81"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","80","5","12078226","0.04"
